serial_no,open_date,b1,b2,b3,b4,b5,r1,r2
2017074,2017-06-28 (三),08,10,11,13,17,08,11
2017073,2017-06-26 (一),07,18,28,31,33,01,02
2017072,2017-06-24 (六),01,03,29,32,34,02,05
2017071,2017-06-21 (三),01,04,11,14,33,05,07
2017070,2017-06-19 (一),06,16,18,26,30,02,03
2017069,2017-06-17 (六),10,16,20,23,32,08,11
2017068,2017-06-14 (三),07,08,19,24,27,06,07
2017067,2017-06-12 (一),10,17,18,32,35,10,11
2017066,2017-06-10 (六),11,15,23,26,30,02,11
2017065,2017-06-07 (三),05,11,12,19,28,05,12
2017064,2017-06-05 (一),01,08,20,27,30,03,04
2017063,2017-06-03 (六),18,21,22,24,29,05,11
2017062,2017-05-31 (三),01,04,06,08,28,08,12
2017061,2017-05-29 (一),10,19,23,25,30,02,04
2017060,2017-05-27 (六),09,15,20,26,31,05,12
2017059,2017-05-24 (三),08,11,13,15,17,03,10
2017058,2017-05-22 (一),14,18,20,21,28,03,06
2017057,2017-05-20 (六),12,16,19,23,24,02,05
2017056,2017-05-17 (三),01,04,24,27,32,03,10
2017055,2017-05-15 (一),19,20,22,30,33,03,09
2017054,2017-05-13 (六),16,29,30,32,33,04,05
2017053,2017-05-10 (三),06,19,20,22,26,01,11
2017052,2017-05-08 (一),03,19,24,28,33,04,12
2017051,2017-05-06 (六),14,17,18,22,29,10,11
2017050,2017-05-03 (三),12,14,17,20,28,02,06
2017049,2017-05-01 (一),09,12,14,22,31,05,08
2017048,2017-04-29 (六),07,09,13,15,19,03,10
2017047,2017-04-26 (三),15,19,32,33,34,09,12
2017046,2017-04-24 (一),04,17,20,23,30,02,03
2017045,2017-04-22 (六),01,08,11,21,35,09,12
2017044,2017-04-19 (三),11,16,17,18,25,02,09
2017043,2017-04-17 (一),06,13,22,25,35,09,12
2017042,2017-04-15 (六),02,17,31,33,34,01,07
2017041,2017-04-12 (三),02,04,06,25,31,05,09
2017040,2017-04-10 (一),04,06,10,23,29,09,11
2017039,2017-04-08 (六),05,06,14,17,26,03,08
2017038,2017-04-05 (三),04,05,13,18,27,03,09
2017037,2017-04-03 (一),13,15,16,32,34,06,11
2017036,2017-04-01 (六),01,04,09,18,33,02,05
2017035,2017-03-29 (三),14,17,22,30,33,07,12
2017034,2017-03-27 (一),06,12,21,26,29,02,11
2017033,2017-03-25 (六),15,22,23,25,34,05,11
2017032,2017-03-22 (三),02,13,14,18,29,03,09
2017031,2017-03-20 (一),02,16,17,30,32,02,09
2017030,2017-03-18 (六),21,22,24,29,34,05,06
2017029,2017-03-15 (三),01,06,14,17,29,01,11
2017028,2017-03-13 (一),06,18,22,23,33,09,11
2017027,2017-03-11 (六),08,17,25,33,34,03,11
2017026,2017-03-08 (三),10,14,19,25,32,02,07
2017025,2017-03-06 (一),10,16,19,20,34,04,05
2017024,2017-03-04 (六),21,23,29,32,35,11,12
2017023,2017-03-01 (三),05,08,12,24,34,07,10
2017022,2017-02-27 (一),02,03,09,17,24,06,12
2017021,2017-02-25 (六),01,15,17,20,26,06,08
2017020,2017-02-22 (三),16,21,24,27,28,04,07
2017019,2017-02-20 (一),02,06,14,23,25,02,10
2017018,2017-02-18 (六),06,07,10,17,23,01,09
2017017,2017-02-15 (三),04,19,24,26,29,04,06
2017016,2017-02-13 (一),03,13,28,30,33,09,10
2017015,2017-02-11 (六),01,07,19,27,34,01,02
2017014,2017-02-08 (三),04,08,15,24,25,02,05
2017013,2017-02-06 (一),05,12,17,30,34,11,12
2017011,2017-01-25 (三),05,15,21,29,34,06,09
2017010,2017-01-23 (一),04,10,13,18,35,01,02
2017009,2017-01-21 (六),05,06,08,12,22,03,04
2017008,2017-01-18 (三),03,04,09,25,32,02,04
2017007,2017-01-16 (一),08,11,17,25,27,02,04
2017006,2017-01-14 (六),04,06,23,32,33,05,06
2017005,2017-01-11 (三),05,09,20,26,35,02,11
2017004,2017-01-09 (一),05,08,11,28,31,06,07
2017003,2017-01-07 (六),03,05,06,13,22,09,12
2017002,2017-01-04 (三),07,12,14,31,34,09,11
2017001,2017-01-02 (一),07,09,20,31,33,08,10
2016154,2016-12-31 (六),06,16,17,21,29,04,06
2016153,2016-12-28 (三),13,18,25,29,35,03,11
2016152,2016-12-26 (一),08,17,22,24,30,05,11
